When,AO,QIC,PAX
1/28/2022,Duck and Weave:32,Uzi,"Bedpan, Denali, Dinghy, Elf, Halfback, Nickelback, Nubbin, Oatmeal"
1/28/2022,Duck and Weave:32,Uzi,"Bedpan, Denali, Dinghy, Elf, Halfback, Nickelback, Nubbin, Oatmeal"
1/27/2022,The Heights:240,Soybean,"Banana Split, Cool J, Jasmine, Porterhouse, Treehorn"
1/26/2022,The Skunk:69,Nickelback,"Buffay, Denali, Dinghy, Elf, Milton, Muzungu, Nubbin, Toast McQueen,  Roy G Biv"
1/26/2022,Conjunction Junction:68,Malware,"Fish and Chips, Big Kat, Laces Out, Tricurious, Slug, Oatmeal, Yo Yo"
1/26/2022,The Big House:38,Chum,"Zook, Splashback, Paper Jam, Shuggah Shack, Marky Mark, Dueling Banjos, Turkey Jerky, Mothman"
1/26/2022,The King's Dominion:212,Kia,"Thirstay, Huts, Max Power, Scribble, Swamp, Count Chocula, Junis"
1/25/2022,Kenan:13,Maraschino,"2ply, Big Kat, Boucher, Champ, Disc, Dogwood, Flapjack, Footjoy, Funyun, Igloo, Malware, Potter, Prancing Horse, Right Swipe, Singlet, Squeeze Box, Uzi, YoYo"
1/24/2022,The Rock:51,Milton,"Denali, Dinghy, Nickelback, Nubbin, Fabio, RoyGBiv, Gilligan"
1/22/2022,The Wall:31,Maraschino,"Bump Draft, Nitro (respect)"
1/24/2022,The Thicket:24,Nightshift,"Splashback, MarkyMark, Bump Draft, Quicken, Brotox, Turkey Jerky, Catskill, Mothman, Nitro, Chum"
1/21/2022,West End:61,Malware,"Elwood, Mueller, Potter, Slug, YoYo, Big Kat, Uzi, Catskill"
1/21/2022,Honey Badger:70,Shake It,"Jasmine, Coxswain"
1/20/2022,The Heights:240,Jasmine/Treehorn,"Soybean, Sweatervest, Bump Draft, Night Shift, Knope, Banana Split, Cool J, Coxswain, Theologian, Jasmine, Treehorn"
1/20/2022,Basecamp:53,me,you
1/20/2022,Animal House:26,test,test
1/19/2022,Conjunction Junction:68,Slug,"Bigkat, The Lawn, Malware, Tricurious, Yo-Yo, Fish 'n chips, Oatmeal, Igloo, Laces Out, Nightshift (and one more....)"
1/19/2022,House of Pain:22,Boucher,"Botched, Crab Cake, Grandpa Ninja, Llama Llama, Soybean, Sweater vest"
1/18/2022,The Vortex:16,Uzi,"Legally Blond, Harbaugh, Potter, Malware, Funyon, Newt, Deep Dish, Dean Wormer, Red October, Disc, Squeeze Box, Golddigger, Swamp"
1/19/2022,The Skunk:69,Uzi,"Buffay, Denali, Dinghy, Fabio, Milton, Muzungu, Nickelback, Nubbin, Toast McQueen"
1/19/2022,The King's Dominion:212,Knope,"Awesome Baby, Castaway, Cherry Baked, Cosmo, Count Chocula, Crash Cart, Hutz, Iverson, Kia, Max Power, Red Tape, Scribble, Swamp, Yunus, Yurt"
1/19/2022,The Earl:59,Montecristo,"Spartan, Chips"
1/17/2022,The Rock:51,Halfback,Roy.G.Biv
1/18/2022,Farmboys:210,Flapjack,"Stevie Ray, Singlet, Balki"
1/18/2022,The Piranha:113,Nightshift,"Cherry Baked, Cardiac, Knope, Hutz, Weed n' Feed, Castaway, Geppetto, Pallino, WreckItRalph"
1/15/2022,The Battering Ram:29,Green Acres,"Bumpdraft, BananaSkin, Flapjack, Loveseat, Brightidea, MonteCristo, motorboat, FunnyBone"
1/15/2022,The Battering Ram:29,Green Acres,"Bumpdraft, BananaSkin, Flapjack, Loveseat, Brightidea, MonteCristo, motorboat, FunnyBone"
1/14/2022,The Falcon:18,Max Power,"Bell’s, Boucher, Castaway, Cherry Baked, Cosmo, Count Chocula, Deep Dish, Grandpa Ninja, Lap Lane, Llama Llama, Peppermint Pattie, Prancing Horse, Red Tape, Rob Zombie, Swamp, Thirstay, WreckItRalph"
1/11/2022,Owl Theory:229,Bell's,Cool J
1/13/2022,Paradise:28,Chum,"Vice, Bump Draft, Splashback, Catskill, Wawa, Squeezebox, Gold Digger, Spooky, Nightshift, Funny Bone, Maraschino, Golden Boy, Green Acres, Atta Boy, Nitro, Zook, Brotox"
1/12/2022,House of Pain:22,Grandpa Ninja,"Crabcake, Banana Slug, Knope, Kia, Ivermectin (first visit to HOP), Llama Llama"
1/12/2022,The King's Dominion:212,My Little Pony,"Boucher, Lap Lane, Houtz, Wreck It Ralph, Deep Dish, Scribble, Swamp"
1/12/2022,Conjunction Junction:68,Yo-Yo,"slug, tricurious, Malware, fishandchips, Big Kat, Oatmeal, Clean Sweep"
1/12/2022,Hurricanrana:45,Texas Instruments,"Sodapopinski, Tater Tot, Green Egg, Spot, Rooney, Blanch, Chowdah, Shake It"
1/10/2022,The Thicket:24,Yanni,"Marky Mark, Bump Draft, Quicken, Mothman, Maraschino, Zook, Brotox, Turkey Jerky, Petri, Cricket,Beaujolais, Stickman, Nitro,  Paper Jam, Jingles, Dueling Banjos,Chum,Splashback"
1/10/2022,The Rock:51,Halfback,"Nubbin, Dinghy, Denali, Bedpan, Milton, FNG (Fabio)"
1/11/2022,Jolly Roger:201,Texas Instruments,"Rooney, Chowdah, Sodapopinski, Green Egg, Tater Tot, Shake It, Fresh Prince, FNG Tracfone"
1/8/2022,The Battering Ram:29,Banana Skin,"Uzi, Maraschino, Madden, Golden Boy, Elwood, Messi, Bunson Burner, Rapinoe (FNK), Red Ryder, Vice, Fiddlestick, Malware, Potter, Homegrown Berry, Catskill, Wawa, Brotox, Rebar, Green Acres, Squeeze Box, Loveseat, Flapjack, Splashback, Cardiac, Rookie, Swiss Miss, O'Shag Hennessy, Montecristo, Arthur, Nightshift, Motorboat"
1/8/2022,Thin Blue Line:17,Scrooge McDuck and Kit,"Poser, Gromit, Cheese Splint, Cool J, Newt, Crockett"
1/7/2022,The Falcon:18,Soybean,"Banana Slug, Botched, Boucher, Crab Cake, Crash Cart, Footjoy, Funyun, Legally Blonde, Llama Llama, Loonie, OPEC, Prancing Horse, Red Tape, Scribble, Sweatervest, Yunus, Yurt"
1/7/2022,West End:61,BumpDraft,"CountChocula, Elwood, Uzi, Tricurious, BigKat, Spelunker, Boilerroom, Malware, TheLawn, Lightweight, Nightshift, Yo-Yo"
1/7/2022,Animal House:26,Balki,"Balki, WileE., Moore"
